team,WP,OWP,OOWP,RPI,win_prob_vs_GT
North Texas,0.6226415094339622,0.5315974741175282,0.5280424439480224,0.5534697254042603,0.6296148329979591
UMass Lowell,0.40476190476190477,0.4042785237512688,0.4425344773666649,0.41396335740777684,0.9768608365612916
SFA,0.5098039215686274,0.48831936320933556,0.47844236244829713,0.49122125260889893,0.876953199886723
Texas Southern,0.3611111111111111,0.44652677777555777,0.4263527097224482,0.4201293440961687,0.97342475908499
Murray St.,0.4444444444444444,0.45930657555095106,0.4878103413036349,0.4627169842124953,0.9321518676828241
Northwestern St.,0.14893617021276595,0.4756474521091714,0.48767451058629835,0.39697639625435177,0.9842332073135962
Central Mich.,0.5306122448979592,0.4871814662113579,0.5012763146465476,0.5015628729918057,0.8488698186433524
Idaho St.,0.723404255319149,0.44287771518322055,0.511126845423854,0.530071632777361,0.7444686791595996
Utah Valley,0.35714285714285715,0.4870107692714424,0.5096972077390054,0.46021540085618684,0.9357053963179109
South Dakota St.,0.5384615384615384,0.5269250724455176,0.5089560085193232,0.5253169229679742,0.7647332372036781
Jacksonville,0.46938775510204084,0.5097801996554526,0.5053026786135515,0.4985627082566244,0.8575203333776868
Western Caro.,0.4230769230769231,0.4851618880796677,0.49228917916641407,0.47142246960066814,0.9183226958797654
Siena,0.6346153846153846,0.4451561216153274,0.4613838455559413,0.4965778683504952,0.8630135315122803
Georgetown,0.2558139534883721,0.47433257070831325,0.488615543102337,0.42327365950183393,0.9714862310805159
Northwestern,0.6511627906976745,0.5404687964393359,0.5636775841434835,0.5739444919299574,0.5147746670890523
Kennesaw St.,0.19148936170212766,0.5222604863885962,0.5202196824590047,0.43905750423458123,0.9594958498869824
SIUE,0.5833333333333334,0.41989821205745353,0.4843783992676099,0.47687703917896257,0.9083935957457473
Wichita St.,0.5384615384615384,0.5362006270382402,0.539138321574813,0.5375002785282079,0.7105948657653721
George Mason,0.35294117647058826,0.4454587565880669,0.47945927567880103,0.43082949133138077,0.9662505989057587
Coastal Carolina,0.6666666666666666,0.5282985202426029,0.5233722897294685,0.5616589992203352,0.5846762168230089
Creighton,0.56,0.49251142816175025,0.49370861979393355,0.5096828690293584,0.8232894021424775
Dayton,0.6590909090909091,0.4713076939644447,0.4840892643879993,0.5214488903519495,0.7803782131724207
Wofford,0.5833333333333334,0.5075663859119378,0.4872475955543461,0.5214284251778888,0.7804589653614616
Army West Point,0.6111111111111112,0.4635175793508165,0.47038999989177666,0.5021340674261302,0.8471747668478334
Troy,0.6037735849056604,0.49211698836937007,0.5168617788395488,0.5262173351209873,0.7609826247319268
UC Davis,0.2978723404255319,0.4958224787668838,0.496528326148308,0.44651140602690187,0.9522737560383294
Syracuse,0.5416666666666666,0.5616793331222802,0.5317796626211144,0.5492012488830853,0.652228681117456
UNCW,0.5531914893617021,0.4785493670015793,0.4808186048838614,0.49777720706218054,0.8597159110564234
Iowa,0.64,0.5318996053882151,0.5586395013360332,0.5656096780281159,0.5624305098852226
Mississippi St.,0.6458333333333334,0.604030455460494,0.5777622623257473,0.6079141266450172,0.3267186557179001
UT Martin,0.32558139534883723,0.44069608318378467,0.4603804723993784,0.4168385085289462,0.9753162063602662
East Texas A&M,0.20454545454545456,0.4760820293873092,0.48524236153117956,0.4104879687128131,0.9786022900722491
Charleston So.,0.425531914893617,0.49418754837969,0.4926701781550447,0.4766442974520104,0.9088385745663436
Towson,0.45098039215686275,0.4178168164152828,0.454329039811969,0.4352357661998493,0.9627808470474909
Lehigh,0.56,0.44575256369091965,0.482701419842791,0.4835516368061576,0.8947765921253981
San Diego,0.40425531914893614,0.5070918987811855,0.5140006604628963,0.4831099442935509,0.895730307463966
Le Moyne,0.375,0.4203953400476001,0.45316009274319563,0.41723769320959897,0.9750939545137068
Purdue Fort Wayne,0.4634146341463415,0.47222034419053094,0.47566113327618387,0.47087911395089677,0.9192562164677972
Miami (OH),0.6037735849056604,0.4659398591703819,0.5049998213599588,0.5101632811515957,0.8216743140020789
South Dakota,0.5510204081632653,0.4777909505308209,0.4750586191533626,0.4954152320945674,0.8661477479799179
Duke,0.72,0.6140028522642547,0.571519073703881,0.6298811945580975,0.22637851064975495
Penn St.,0.5,0.5661646034585793,0.5395289848465017,0.5429645479409151,0.6840518174541299
Middle Tenn.,0.49056603773584906,0.5366661513940547,0.5166093832996311,0.5201269309558973,0.7855505923545976
UCLA,0.8392857142857143,0.6214171859173422,0.5507990068735994,0.6582297732484995,0.13220239784922672
IU Indy,0.45652173913043476,0.4747094150416908,0.47086684691810693,0.4692018540329808,0.9220767607340113
Fordham,0.5510204081632653,0.5057601669272155,0.48285996337988957,0.5113501763493964,0.8176346129794074
Col. of Charleston,0.6086956521739131,0.47474061830253433,0.47157427734743484,0.5074377915316042,0.8306849256291866
North Dakota St.,0.38,0.5083900958848847,0.49477580772665297,0.4728889998741056,0.9157538375817004
Southern Miss.,0.45652173913043476,0.541466156124488,0.5231304934440602,0.5156461362058677,0.8024194499720619
Youngstown St.,0.2777777777777778,0.4390219246725178,0.46410447768826446,0.4049815262027695,0.9811022151929785
Ohio St.,0.7924528301886793,0.5675628666070388,0.5442979486525796,0.6179691280138342,0.2779629083599945
Montana,0.18181818181818182,0.44820517492900835,0.4660710643436115,0.3860748990049525,0.9876901966752788
Colgate,0.35294117647058826,0.4288219372957525,0.4610270715841486,0.4179030306615604,0.974719177555995
Missouri St.,0.4,0.4932610350762534,0.5086963281408533,0.47380459957334,0.9141130309658815
Georgia St.,0.20833333333333334,0.5131896097031633,0.5108420730223595,0.43638865644050484,0.9618178162914197
Butler,0.5333333333333333,0.4911398159845502,0.4841815088621315,0.4999486185411413,0.8535767208463879
St. Thomas (MN),0.6666666666666666,0.49269510567901026,0.4904879935316501,0.5356362178890843,0.7193412785923359
Chattanooga,0.75,0.5091019981954412,0.4921318744693291,0.5650839677150529,0.5654072759857026
Binghamton,0.75,0.4707837494106414,0.4833326033723365,0.5437250255484049,0.6802551917613859
Stetson,0.5454545454545454,0.5772187781339241,0.4982100687949813,0.5495255426293437,0.6505330169375644
Washington,0.6818181818181818,0.5903649960397404,0.532576277818992,0.5987811129291636,0.37454475976284907
Western Mich.,0.32,0.47984588043134946,0.4981952338918647,0.4444717486886409,0.9543634639579915
Ga. Southern,0.5625,0.5223694316549342,0.5125615753525266,0.5299501096655987,0.7450006255591777
Loyola Chicago,0.3958333333333333,0.4903901069754066,0.4762234123899734,0.46320923991852997,0.9314314922959576
Michigan,0.64,0.555055613800706,0.5403999313090504,0.5726277897276155,0.522343625848629
Belmont,0.7346938775510204,0.48048570437916494,0.4915941194262758,0.5468148514339065,0.6645860524892041
Western Ky.,0.6222222222222222,0.5106080710037977,0.5179817719010603,0.5403550340327195,0.6968920966043185
Eastern Ky.,0.7346938775510204,0.49822719308406677,0.5128687014572426,0.5610042412940992,0.5883324711428881
St. John's (NY),0.75,0.4887291851362839,0.4931816749980401,0.5551600113176519,0.6204937646802908
Bellarmine,0.17073170731707318,0.5316897403914547,0.4992908228201093,0.43335050273002296,0.9643055198755793
Lindenwood,0.5106382978723404,0.4276997597796562,0.45857339532378627,0.45615280318885976,0.9411089476013459
Hampton,0.3191489361702128,0.40407648303331295,0.433239850051226,0.39013543807201617,0.9865000281268981
Akron,0.5384615384615384,0.5072997039817971,0.48041930020264867,0.5083700616569453,0.827644275253412
Monmouth,0.21568627450980393,0.47098934110957963,0.45870552558763983,0.40409262057915074,0.9814779884409047
Bowling Green,0.3076923076923077,0.4694063292209994,0.49199278806465685,0.43462443854974087,0.9632819841968017
Georgia Tech,0.5348837209302325,0.606140694447933,0.5588823377891263,0.5765118619038061,0.5
Sacramento St.,0.5581395348837209,0.4541520813436316,0.5033941148097199,0.49245945309517597,0.8738435151486144
Saint Mary's (CA),0.5652173913043478,0.5785396378382359,0.506793342763506,0.5572725024360814,0.6089742626920437
Cleveland St.,0.525,0.4466988175607144,0.4700497465565883,0.4721118454195043,0.917124155418581
Green Bay,0.3541666666666667,0.4527904085853936,0.46045997677168743,0.43005186515228533,0.9668296545046895
FDU,0.5,0.3928073426449828,0.44683033754785545,0.43311125570945525,0.9644946529255709
Charlotte,0.5740740740740741,0.5842042957023764,0.5220926259277673,0.5661438228516485,0.5594013741408428
Southeastern La.,0.7857142857142857,0.4603153855682836,0.48744737799577836,0.5484481087116578,0.6561517805596804
Ball St.,0.6666666666666666,0.44534825799122163,0.49031663707445033,0.51191995493089,0.8156702088912021
Oregon St.,0.5238095238095238,0.50464828832643,0.521617000037449,0.5136807751249582,0.809496092199443
Cal Poly,0.19047619047619047,0.4793415271343961,0.4841492770805021,0.40832713045637115,0.9796197173270897
Oregon,0.8936170212765957,0.5420841818598946,0.557505966561913,0.6338228378895745,0.21087919449934203
Buffalo,0.3333333333333333,0.4735978086055594,0.4834271448285076,0.44098902384323996,0.9577316346945253
Southern Utah,0.42857142857142855,0.5291247529165684,0.5187387947537965,0.5013899322895905,0.8493799731301198
George Washington,0.6274509803921569,0.4309741056816213,0.466433700680359,0.4889582231089396,0.8824664592226735
Morehead St.,0.1590909090909091,0.500019462222644,0.4584828082110214,0.4044031604368047,0.9813475523852788
Northern Ky.,0.4791666666666667,0.44731183167619015,0.4712257557450568,0.46125402144102595,0.934251563648108
California,0.6730769230769231,0.6040987661872994,0.5598260207243952,0.6102751190439792,0.31487453464626025
Longwood,0.4166666666666667,0.5354469024603228,0.4977164723665348,0.4963192359884618,0.863716045040718
Texas,0.8163265306122449,0.6131067088803414,0.5764868804358004,0.6547567072021819,0.14164982632327208
Central Ark.,0.5384615384615384,0.6056483263671695,0.5183485590499852,0.5670266875614656,0.5543850419336178
Virginia Tech,0.8260869565217391,0.5849507583038616,0.5700374885340456,0.6415064904158769,0.18293965232345838
Rutgers,0.3333333333333333,0.5329047330544802,0.5260125241106847,0.4812888308882446,0.899582233091526
Alabama,0.6491228070175439,0.6284393583460113,0.5808934318311753,0.6217237388851854,0.26094900099883617
Marist,0.88,0.42537620034398194,0.4619793231717712,0.5481829309649338,0.6575280663489667
Ark.-Pine Bluff,0.35714285714285715,0.4400559222756663,0.40047850758290227,0.409433302319273,0.9791049388989574
UNLV,0.4523809523809524,0.5221015483335156,0.5167213670839549,0.5033263540329846,0.8435864063635861
Boise St.,0.6078431372549019,0.5113984658879697,0.5268644381381531,0.5393761267922486,0.7016320993912586
Winthrop,0.5531914893617021,0.4786338710928108,0.4814590830474219,0.4979795786486864,0.8591529784665821
Portland St.,0.22916666666666666,0.4913346188795625,0.4786618652731056,0.4226244424247243,0.971897417380108
Nevada,0.78,0.5404782100617175,0.5225178578280917,0.5958685694878817,0.3903825048238261
Alcorn,0.28205128205128205,0.3704296242599155,0.3984178306099989,0.355332090295278,0.9938969958982241
Mississippi Val.,0.06060606060606061,0.3931196225833872,0.42280105699729803,0.3174115906925332,0.9974420916524623
Rust,0.0,0.33911210317460316,0.412406811488754,0.2726577544594901,0.9990857568959857
Morgan St.,0.40476190476190477,0.40526439597188135,0.4305403639667559,0.41145776516810584,0.9781296636335689
Toledo,0.40425531914893614,0.491634011944661,0.48444475201662596,0.467992023763721,0.9240549590420359
Saint Francis,0.5111111111111111,0.42983582504617585,0.4624672871736398,0.4583125120942756,0.9382915941002449
California Baptist,0.4489795918367347,0.5393314897867844,0.5184526460662467,0.5115238043691376,0.8170377310159901
Massachusetts,0.30434782608695654,0.4690258012630445,0.478721161551546,0.43028014754114785,0.9666606672105268
ETSU,0.34615384615384615,0.4763826447736783,0.48589594763665883,0.44620377083446544,0.9525946635164951
Kent St.,0.24489795918367346,0.5048631197533736,0.4839038526238384,0.4346320128285648,0.9632758150556098
Austin Peay,0.74,0.4625867401470468,0.5128581699958423,0.544507912572484,0.6763215768318421
Florida A&M,0.5789473684210527,0.4871102679434105,0.4609974199883573,0.5035413310740577,0.842932146604896
Boston U.,0.6938775510204082,0.43403494564126344,0.48598127312862394,0.5119821788578898,0.8154546928360308
Campbell,0.6304347826086957,0.42538740086664356,0.4805801240071571,0.49044742708728495,0.878862995353815
Presbyterian,0.4186046511627907,0.43040438975667206,0.4679916796025931,0.436851277569682,0.961424689768115
Bucknell,0.37777777777777777,0.4926310901032577,0.4543197970321027,0.45433993875409895,0.9433802990781963
UT Arlington,0.5217391304347826,0.5144233977052242,0.5072150368474265,0.5144502406731644,0.8067488300066316
Prairie View,0.5652173913043478,0.43659698306596384,0.444844252822395,0.47081390256466765,0.919367597539952
UIW,0.6086956521739131,0.4796800553659191,0.4819809934966349,0.5125091891005965,0.8136215432464257
San Jose St.,0.40476190476190477,0.5535502512149408,0.5132036297055783,0.5062665092243411,0.8344443993394416
West Ga.,0.23529411764705882,0.4591637878408423,0.49294532496744786,0.4116417545740478,0.9780388522384829
Drexel,0.11904761904761904,0.4707624329444986,0.46667776239823217,0.3818125618337121,0.9888280806906377
LIU,0.5365853658536586,0.4758147500524447,0.45865479630859723,0.4867174155667863,0.8877133126743955
Bryant,0.391304347826087,0.4331760596897835,0.4609601414818256,0.4296541521718699,0.9671220897438408
USC Upstate,0.7142857142857143,0.4438087309715499,0.48575707537237417,0.5219150629002971,0.7785329947771312
Wisconsin,0.6470588235294118,0.5518182958202269,0.5329396437949773,0.5709087647412107,0.5322093549333721
Eastern Ill.,0.6274509803921569,0.4686132947082027,0.4689870945734509,0.5084161660955033,0.8274927870207847
LSU,0.7111111111111111,0.6333925245621602,0.593124976892327,0.6427552842819396,0.17868075384959972
Missouri,0.45454545454545453,0.6473727080829405,0.5772817279653562,0.581643149669173,0.4704962478216466
Saint Joseph's,0.52,0.48696076995420495,0.4764814282170404,0.49260074203136256,0.8734844318313643
Gardner-Webb,0.36363636363636365,0.4608073326372843,0.4908161449821644,0.44401679347327416,0.9548175567571353
Tulsa,0.38461538461538464,0.5136599755622354,0.5219476559045758,0.4834707479111078,0.8949518236463433
Fresno St.,0.6382978723404256,0.51600092597958,0.5256179221931399,0.5489794116231814,0.6533864058830124
Howard,0.6086956521739131,0.4306485045863964,0.4519228581515819,0.48047887987457194,0.9012544359266939
Memphis,0.2857142857142857,0.49615729324933533,0.5146315661577379,0.4481651095926736,0.9505130637849868
DePaul,0.2727272727272727,0.45496096830782945,0.48725114831775573,0.4174750894151718,0.9749608573071895
Western Ill.,0.22727272727272727,0.41212681878812735,0.4601995572449189,0.3779314805234752,0.9897733838061618
Detroit Mercy,0.23809523809523808,0.4554516852513728,0.4696371607438516,0.40465894233545885,0.9812394398983729
Samford,0.5833333333333334,0.5307321881671216,0.5141373227974763,0.5397337581162632,0.6999053391996368
Queens (NC),0.3,0.46025216967240623,0.5051584118389617,0.4314156877959435,0.9658076538322355
Drake,0.41509433962264153,0.4619678595076186,0.49264296771174176,0.45791825658740515,0.9388151319429824
Alabama A&M,0.3902439024390244,0.39498340057498627,0.44703102563884367,0.4068104323069602,0.98030540291952
Grambling,0.38636363636363635,0.34356631413154126,0.4150012133869797,0.37212436950342465,0.991041875753873
Valparaiso,0.4166666666666667,0.4270854972681744,0.47477320663520445,0.43640271695955496,0.9618059248210726
Arlington Baptist,0.0,0.2231359649122807,0.38617754913942964,0.20811236974099775,0.9997930262913953
Stanford,0.7619047619047619,0.618885301600329,0.5633461416893566,0.6407553766986941,0.1855389769308504
Southeast Mo. St.,0.5853658536585366,0.4474498464681116,0.46862776911539034,0.48722332892753756,0.886546895668324
Merrimack,0.2727272727272727,0.42458995284784,0.4504532191052961,0.3930900993820622,0.9855633338737899
Mercer,0.5918367346938775,0.5459804187088558,0.511135796173157,0.5487333420711865,0.6546684731707986
Robert Morris,0.627906976744186,0.4198945485011404,0.4710084182106652,0.484676122989283,0.8923137627264836
Iona,0.6222222222222222,0.4675313987203102,0.44514043901054134,0.5006063646683461,0.8516736707553313
Fairfield,0.5102040816326531,0.4448796515283518,0.46377420918993095,0.4659343984698219,0.9273137807881032
Harvard,0.6944444444444444,0.4580883433973666,0.49359216666614664,0.526053324476331,0.7616688450834146
Canisius,0.5319148936170213,0.4255776470241784,0.4544223498937766,0.45937313438978866,0.9368623366902722
UMBC,0.4,0.47314013827180024,0.4590341665444479,0.45132861077201214,0.9469720717951939
Manhattan,0.23255813953488372,0.451447640689768,0.44686751301293065,0.39558023348183763,0.9847243952412854
Fort Valley St.,0.0,0.4081219168428471,0.37228123151573905,0.2971312663003583,0.9983949210211124
Dartmouth,0.4473684210526316,0.4950122744732662,0.48804312627409546,0.4813590240683148,0.8994361356833976
Ouachita Baptist,0.5,0.34210526315789475,0.4400559222756663,0.40606661214786394,0.9806333649800277
Central Conn. St.,0.40425531914893614,0.4517705613877031,0.44475869595719675,0.4381387844703848,0.9603100370281079
Jackson St.,0.5116279069767442,0.38996496105264267,0.44892206097460324,0.4351199725141582,0.9628762712844554
Coppin St.,0.0967741935483871,0.408219938677819,0.40338801765094956,0.3291505221387437,0.9966508880840452
